,Country,CC3,Location,Latitude,Longitude,mercartorY,mercartorX
59,Switzerland,CHE,"(46.7985624, 8.2319736)",46.7985624,8.2319736,5909256.087563409,916379.109375671
60,Taiwan,TWN,"(23.9739374, 120.9820179)",23.9739374,120.9820179,2750232.589541593,13467656.627770707
61,Thailand,THA,"(50.9014721, 11.0377839)",50.9014721,11.0377839,6603883.748575546,1228720.4832341934
62,Tunisia,TUN,"(33.8439408, 9.400138)",33.8439408,9.400138,4007866.2881532665,1046418.5755465011
63,Turkey,TUR,"(38.9597594, 34.9249653)",38.9597594,34.9249653,4715909.0899464525,3887829.353168749
64,United Kingdom,GBR,"(54.7023545, -3.2765753)",54.7023545,-3.2765753,7304312.167817084,-364746.6939418176
65,United States,USA,"(39.7837304, -100.445882)",39.7837304,-100.445882,4834564.161615893,-11181584.436521243
66,Uruguay,URY,"(-32.8755548, -56.0201525)",-32.8755548,-56.0201525,-3878797.5699098497,-6236134.850461531
67,Venezuela,VEN,"(8.0018709, -66.1109318)",8.0018709,-66.1109318,893674.0658958793,-7359435.263844837
68,Zambia,ZMB,"(-27.0414629, -48.89225656721048)",-27.0414629,-48.89225656721048,-3128652.946269039,-5442661.104795956
69,Zimbabwe,ZWE,"(-18.4554963, 29.7468414)",-18.4554963,29.7468414,-2090933.1255156463,3311403.2373562693
